Ajax,ajax.png,Paises Bajos,14
Atalanta,atalanta.png,Italia,6
Atlético,atletico.png,España,11
Barcelona,barcelona.png,España,17
Bayern,bayern.png,Alemania,16
Benfica,benfica.png,Portugal,15
Besiktas,besiktas.png,Turquía,2
Chelsea,chelsea.png,Inglaterra,1
Club Brugge,club_brugge.png,Bélgica,26
Dortmund,dortmund.png,Alemania,27
Dynamo Kyiv,dynamo_kyiv.png,Ucrania,28
Internazionale,internazionale.png,Italia,29
Juventus,juventus.png,Italia,9
Leipzig,leipzig.png,Alemania,8
Liverpool,liverpool.png,Inglaterra,24
LOSC,losc.png,Francia,23
Malmö,malmo.png,Suecia,22
Man. City,man_city.png,Inglaterra,21
Man. United,man_united.png,Inglaterra,20
Milan,milan.png,Italia,19
Paris,paris.png,Francia,14
Porto,porto.png,Portugal,13
Real Madrid,real_madrid.png,España,12
Salzburg,salzburg.png,Austria,11
Sevilla,sevilla.png,España,10
Shakhtar Donetsk,shakhtar_donetsk.png,Ucrania,14
Sheriff,sheriff.png,Moldavia,22
Sporting CP,sporting_cp.png,Portugal,25
Villarreal,villarreal.png,España,30
Wolfsburg,wolfsburg.png,Alemania,4
Young Boys,young_boys.png,Suiza,7
Zenit,zenit.png,Rusia,13
